City,Latitude,Longitude
Ampara District,7.2911685,81.6723761
Anuradhapura District,8.3318305,80.4029017
Badulla District,6.9934009,81.0549815
Batticaloa District,7.8292781,81.4718387
Colombo District,6.9269557,79.8617306
Galle District,6.057749,80.2175572
Gampaha District,7.0712619,80.0087746
Hambantota District,6.1535816,81.127149
Jaffna District,9.6930468,80.1651854
Kalutara District,6.6084686,80.1428584
Kandy District,7.2931588,80.6350107
Kegalle District,7.1204053,80.3213106
Kilinochchi District,9.3677971,80.3213106
Mannar District,8.9809531,79.9043975
Matale District,7.4659646,80.6234259
Matara District,5.9449348,80.5487997
Monaragala District,6.8727781,81.3506832
Mullaitivu District,9.2675388,80.8128254
Nuwara Eliya District,6.9606532,80.7692758
Polonnaruwa District,7.9395567,81.0003403
Puttalam District,8.0259915,79.8471272
Ratnapura district,6.7055168,80.3848389
Trincomalee District,8.6013069,81.1196075
Vavuniya District,8.7594739,80.5000334
